,1,2,3,4,5,6,7
A,16.17853751360217,68.07681438169529,92.04987236653375,61.51809058200174,20.036310531669145,,
B,33.24776358728484,66.19758206082513,41.44345149177193,11.285504992683599,2.510911386374069,,
C,123.70917884459956,7.566224015204142,20.528209473499743,39.870795734389475,1.6786121390756747,,
D,123.82190132490479,13.691119142486173,1.0221155607816002,73.78386329816426,25.892150293304066,,
E,44.22602077507068,29.877755712095187,46.518439527710626,16.724249883398542,14.292657662497493,16.92271011557865,
F,16.260209132285183,40.01179067326005,23.272716723280432,29.874397592601817,2.7001153296806564,19.551094125706303,
G,13.95509142603317,91.42258646157346,69.99032997306432,33.75022610125245,73.5610863010819,62.50204754353628,
