,1,2,3,4,5,6,7
A,47.30466097761804,10.750416558836967,47.55950938745991,18.10311483529344,19.48968294273913,21.05054943998596,11.694831124256702
B,61.20930810050932,19.61706163182367,30.319060349926,46.31047993312103,37.181448201461954,9.644682198818565,14.039027323005392
C,8.757021484541667,9.402802077316942,24.708149941814458,65.27325927716618,29.738107838093235,25.37301048706312,10.062746497152506
D,30.839179297275766,69.81808729086384,22.458946112040806,25.112982348458896,12.589141035477226,7.1594242911787696,1.0480421810114606
E,5.164580879301322,96.42207022829051,3.8298302062756484,,,,
F,,,,,,,
G,,,,,,,
