Case,Pearson_R,MAE_mm,SSIM
Case3,-0.14245847825335847,39.19796141527786,
Case4,-0.060905719587461354,46.90173995238061,
Case5,-0.06798385501867882,28.847518725164704,-0.051846271039100944
Case6,0.11001312616953529,27.16229724123157,
